movie,actor,actorRole
Chicken Little,Joan Cusack,Abby Mallard
Chicken Little,Garry Marshall,Buck Cluck
Chicken Little,Zach Braff,Chicken Little
Chicken Little,Dan Molina,Fish Out of Water
Chicken Little,Amy Sedaris,Foxy Loxy
Chicken Little,Mark Walton,Goosey Loosey
Chicken Little,Sean Elmore,Kirby
Chicken Little,Fred Willard,Melvin
Chicken Little,Mark Dindal,Morcupine Porcupine
Chicken Little,Patrick Stewart,Mr. Woolensworth
Chicken Little,Steve Zahn,Runt of the Litter
Chicken Little,Catherine O'Hara,Tina
Chicken Little,Don Knotts,Turkey Lurkey
The Aristocats,Monica Evans,Abigail Gabble
The Aristocats,Carole Shelley,Amelia Gabble
The Aristocats,Dean Clark,Berlioz
The Aristocats,Thurl Ravenscroft,Billy Boss
The Aristocats,Eva Gabor,Duchess
The Aristocats,Roddy Maude-Roxby,Edgar Balthazar the Butler
The Aristocats,Nancy Kulp,Frou-Frou
The Aristocats,Charles Lane,Georges Hautecourt
The Aristocats,Lord Tim Hudson,Hit Cat the English Cat
The Aristocats,George Lindsey,Lafayette the Basset Hound
The Aristocats,Hermione Baddeley,Madame Adelaide Bonfamille
The Aristocats,Liz English,Marie
The Aristocats,Pat Buttram,Napoleon the Bloodhound
The Aristocats,Vito Scotti,Peppo the Italian Cat
The Aristocats,Sterling Holloway,Roquefort the Mouse
The Aristocats,Scatman Crothers,Scat Cat
The Aristocats,Paul Winchell,Shun Gon the Chinese Cat
The Aristocats,Phil Harris,Thomas O'Malley
The Aristocats,Gary Dubin,Toulouse
The Aristocats,Bill Thompson,Uncle Waldo
Aladdin,Frank Welker,Abu
Aladdin,Scott Weinger; Brad Kane,Aladdin
Aladdin,Robin Williams,Genie
Aladdin,James Avery,Haroud Hazi Bin
Aladdin,Gilbert Gottfried,Iago
Aladdin,Jonathan Freeman,Jafar
Aladdin,Charlie Adler,Mechanicles
Aladdin,Jonathan Brandis,Mozenrath
Aladdin,Linda Larkin; Lea Salonga,Princess Jasmine
Aladdin,Frank Welker,Rajah
Aladdin,Jim Cummings,Razoul
Aladdin,Kellie Martin,Sadira
Aladdin,Douglas Seale,The Sultan
The Little Mermaid,Sherry Lynn,Adella
The Little Mermaid,Kimmy Robertson,Alana
The Little Mermaid,Tara Strong,Andrina
The Little Mermaid,Grey DeLisle; Mona Marshall,Aquata
The Little Mermaid,Jodi Benson,Ariel
The Little Mermaid,Kimmy Robertson,Arista
The Little Mermaid,Kari Wahlgren,Attina
The Little Mermaid,Edie McClurg,Carlotta the Maid
The Little Mermaid,Rene Auberjonois,Chef Louis
The Little Mermaid,Paddi Edwards,Flotsam and Jetsam
The Little Mermaid,Jason Marin,Flounder
The Little Mermaid,Ben Wright,Grimsby
The Little Mermaid,Will Ryan,Harold the Seahorse
The Little Mermaid,Kenneth Mars,King Triton
The Little Mermaid,Frank Welker,Max the Sheepdog
The Little Mermaid,Christopher Daniel Barnes,Prince Eric
The Little Mermaid,Buddy Hackett,Scuttle
The Little Mermaid,Samuel E. Wright,Sebastian
The Little Mermaid,Pat Carroll,Ursula
The Little Mermaid,Pat Carroll; Jodi Benson,Vanessa (The Little Mermaid)
Bolt,Greg Germann,The Agent
Bolt,Nick Swardson,Blake
Bolt,John Travolta,Bolt
Bolt,James Lipton,The Director
Bolt,Malcolm McDowell,Dr. Calico
Bolt,Ronn Moss,Dr. Forrester
Bolt,Kari Wahlgren,Mindy
Bolt,Susie Essman,Mittens
Bolt,Grey DeLisle,Penny's Mom
Bolt,Miley Cyrus,Penny
Bolt,Mark Walton,Rhino
Bolt,Randy Savage,Thug
Bolt,Diedrich Bader,Veteran Cat
Lilo & Stitch,Kevin McDonald,Agent Wendy Pleakley
Lilo & Stitch,Ving Rhames,Cobra Bubbles
Lilo & Stitch,Jason Scott Lee,David Kawena
Lilo & Stitch,David Ogden Stiers,Dr. Jumba Jookiba
Lilo & Stitch,Kevin Michael Richardson,Captain Gantu
Lilo & Stitch,Zoe Caldwell,Grand Councilwoman
Lilo & Stitch,Daveigh Chase,Lilo Pelekai
Lilo & Stitch,Amy Hill,Mrs. Hasagawa
Lilo & Stitch,Miranda Paige Walls; Liliana Mumy,Myrtle Edmonds
Lilo & Stitch,Tia Carrere,Nani Pelekai
