movieTitle,releaseDate,genre,rating,gross
Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485
Pinocchio,1940-02-09,Adventure,G,84300000
Fantasia,1940-11-13,Musical,G,83320000
Song of the South,1946-11-12,Adventure,G,65000000
Cinderella,1950-02-15,Drama,G,85000000
"20,000 Leagues Under the Sea",1954-12-23,Adventure,,28200000
Lady and the Tramp,1955-06-22,Drama,G,93600000
Sleeping Beauty,1959-01-29,Drama,,9464608
101 Dalmatians,1961-01-25,Comedy,G,153000000
The Absent Minded Professor,1961-03-16,Comedy,,25381407
Babes in Toyland,1961-12-14,Musical,G,10218316
Bon Voyage!,1962-05-17,Comedy,Not Rated,9230769
The Sword in the Stone,1963-12-25,Adventure,,22182353
The Jungle Book,1967-10-18,Musical,Not Rated,141843000
Blackbeard's Ghost,1968-02-08,Comedy,,21540050
The Aristocats,1970-04-24,Musical,G,55675257
The Boatniks,1970-07-01,Comedy,,18607492
Bedknobs and Broomsticks,1971-10-07,Musical,,17871174
The Apple Dumpling Gang,1975-07-01,Comedy,,31916500
Freaky Friday,1977-01-21,Comedy,,25942000
The Many Adventures of Winnie the Pooh,1977-03-11,,,0
The Rescuers,1977-06-22,Adventure,,48775599
Herbie Goes to Monte Carlo,1977-06-24,,,28000000
The Black Hole,1979-12-21,,,35841901
Midnight Madness,1980-02-08,,,2900000
The Last Flight of Noah’s Ark,1980-06-25,,,11000000
The Devil and Max Devlin,1981-01-01,,,16000000
Amy,1981-03-20,Drama,,0
The Fox and the Hound,1981-07-10,Comedy,,43899231
Condorman,1981-08-07,Action,,0
Night Crossing,1982-02-05,Drama,,4500000
Tron,1982-07-09,Action,,26918576
Tex,1982-11-19,Drama,,7199408
Trenchcoat,1983-03-11,Comedy,,4304286
Something Wicked This Way Comes,1983-04-29,Horror,,5656087
Never Cry Wolf,1983-10-07,Drama,,27668764
Running Brave,1983-11-04,Drama,,1204595
Splash,1984-03-09,Comedy,PG,62599495
Country,1984-09-29,Drama,,8400000
Baby: Secret of the Lost Legend,1985-03-22,Adventure,,14276095
Return to Oz,1985-06-21,Adventure,,10618813
The Black Cauldron,1985-07-24,Adventure,,21288692
My Science Project,1985-08-09,Comedy,,4100000
The Journey of Natty Gann,1985-09-27,Drama,,9468512
One Magic Christmas,1985-11-22,Drama,,13229514
Down and Out in Beverly Hills,1986-01-31,Comedy,R,62134225
Off Beat,1986-04-11,Comedy,,4842778
Ruthless People,1986-06-27,Comedy,R,71624879
The Great Mouse Detective,1986-07-02,Adventure,,23605534
Flight of the Navigator,1986-07-30,Adventure,,18564613
Tough Guys,1986-10-03,Comedy,,21458229
The Color of Money,1986-10-17,Drama,R,52293000
Outrageous Fortune,1987-01-30,Comedy,R,52864741
Tin Men,1987-03-06,Comedy,,25411386
Ernest Goes to Camp,1987-05-22,Comedy,,23509382
Benji the Hunted,1987-06-05,Adventure,,15212539
Adventures in Babysitting,1987-07-03,Comedy,,33790923
Stakeout,1987-08-05,Comedy,R,65673233
Can't Buy Me Love,1987-08-14,Romantic Comedy,,31623833
Hello Again,1987-11-06,Comedy,,20419446
3 Men and a Baby,1987-11-25,Comedy,PG,167780960
Good Morning Vietnam,1987-12-23,Comedy,R,123922370
Shoot to Kill,1988-02-12,Action,,29300000
D.O.A.,1988-03-18,Thriller/Suspense,,12706478
Return to Snowy River,1988-04-15,Adventure,PG,13687027
Big Business,1988-06-10,Comedy,PG,40150487
Who Framed Roger Rabbit?,1988-06-22,Comedy,PG,154112492
Cocktail,1988-07-29,Drama,R,78222753
The Rescue,1988-08-05,Action,,5855392
Heartbreak Hotel,1988-09-30,Comedy,,5509417
The Good Mother,1988-11-04,Drama,,4764606
Ernest Saves Christmas,1988-11-11,Comedy,PG,28202109
Oliver & Company,1988-11-18,Adventure,G,49576671
Beaches,1988-12-21,Drama,PG-13,57041866
Three Fugitives,1989-01-27,Comedy,PG-13,40590000
New York Stories,1989-03-01,Drama,PG,10763469
Disorganized Crime,1989-04-14,Comedy,,7210149
Dead Poets Society,1989-06-02,Drama,PG,95860116
"Honey, I Shrunk the Kids",1989-06-23,Adventure,PG,130724172
Turner & Hooch,1989-07-28,Comedy,PG,71079915
Cheetah,1989-08-18,Adventure,,7882250
An Innocent Man,1989-10-06,Drama,R,19397847
Gross Anatomy,1989-10-20,Drama,PG-13,11346186
The Little Mermaid,1989-11-15,Adventure,G,111543479
Blaze,1989-12-13,Drama,R,19049727
Stella,1990-02-02,Drama,PG-13,20062347
